idiom,meaning
곁 비,보호 하 거나 지키 ᆯ 사람 이 곁 에 없
곁 이 비,보호 하 거나 지키 ᆯ 사람 이 곁 에 없
곁 눈 뜨,딴 곳 에 관심 을 보이
곁 눈 을 뜨,딴 곳 에 관심 을 보이
곁 눈 주,곁 눈 질 로 상대 편 에게 어떤 뜻 을 알리
곁 눈 을 주,곁 눈 질 로 상대 편 에게 어떤 뜻 을 알리
곁 눈 팔,딴 곳 에 관심 을 보이
곁 눈 을 팔,딴 곳 에 관심 을 보이
곁 다리 끼,참견 하 여 말 하
곁 다리 를 끼,참견 하 여 말 하
곁 다리 들,참견 하 여 말 하
곁 다리 를 들,참견 하 여 말 하
곁 쐐기 박,참견 하 거나 방해 를 놓
곁 쐐기 치,참견 하 거나 방해 를 놓
곁 쐐기 를 박,참견 하 거나 방해 를 놓
곁 쐐기 를 치,참견 하 거나 방해 를 놓
계 타,곗 돈 을 받 게 되
계 를 타,곗 돈 을 받 게 되
계란 이나 달걀 이나,이것 이나 저것 이나 다 마찬가지
계절 을 앞당기,하 아야 하 ᆯ 일 을 먼저 앞당기 어 빨리 하 아 나가
계집 을 보,여자 를 사귀 어 관계 를 가지
고개 흔들,거절 의 뜻 을 나타내
고개 를 가로 흔들,거절 의 뜻 을 나타내
고개 꼬,믿 지 아니하 고 의심 하
고개 비틀,믿 지 아니하 고 의심 하
고개 를 꼬,믿 지 아니하 고 의심 하
고개 를 비틀,믿 지 아니하 고 의심 하
고개 돌리,외면 하
고개 를 돌리,외면 하
고개 묻,고개 를 약간 앞 으로 숙이
고개 를 묻,고개 를 약간 앞 으로 숙이
고개 숙이,기세 가 꺾이 어 누그러지
고개 를 숙이,기세 가 꺾이 어 누그러지
고개 가 수그러지,존경 하 는 마음 이 일어나
고개 를 끄덕이,옳 다거나 좋
고개 를 내밀,"세력 , 감정 따위 가 나타나 거나 생기"
고개 를 들,떳떳이 대하
고개 를 쳐들,기운 이나 형세 가 성하 여 지 거나 활발 하 여 지
고개 하나 까딱 하 지 않,마음 의 동요 를 조금 도 보임 이 없이 꼼짝 도 하 지 않
고갯 방아 를 찧,잠 이 오 아서 졸
고깃 값 을 하,저 의 구실 을 하
고기 밥 되,물 에 빠지 어 죽
고기 밥 이 되,물 에 빠지 어 죽
고동 틀,기계 를 움직이 게 하 는 장치 를 돌리
고동 을 틀,기계 를 움직이 게 하 는 장치 를 돌리
고동 을 멈추,죽
고동 을 불,고동 소리 를 내
고동 을 울리,고동 소리 를 내
고동 이 나,고동 소리 가 나
고드름 똥 싸 겠,몹시 춥
고래 잡,포경 수술 하
고래 를 잡,포경 수술 하
고래 등 같,집 이 덩그렇 게 높 고 크
고무 신 거꾸로 신,일방 적 으로 헤어지
고무 신 을 거꾸로 신,일방 적 으로 헤어지
고미 누르,고미 를 만들
고미 를 누르,고미 를 만들
고배 를 들,쓰라리 ᆫ 일 을 당하
고배 를 마시,쓰라리 ᆫ 일 을 당하
고배 를 맛보,쓰라리 ᆫ 일 을 당하
고삐 풀리,얽매이 지 않 거나 통제 를 받 지 않
고삐 가 풀리,얽매이 지 않 거나 통제 를 받 지 않
고삐 놓 은 말,거칠 게 행동 하 는 사람
고삐 없 는 말,거칠 게 행동 하 는 사람
고삐 풀리 ᆫ 말,거칠 게 행동 하 는 사람
고삐 놓 은 망아지,거칠 게 행동 하 는 사람
고삐 를 늦추,경계 심 이나 긴장 을 누그러뜨리
고삐 를 조이,사태 를 조금 도 늦추 지 않 고 긴장 되게 하
고삐 를 채,사태 의 긴장 을 유지 하 도록 다그치
고삐 를 잡아채,사태 의 긴장 을 유지 하 도록 다그치
고삐 를 틀어쥐,어떤 일 을 틀어쥐 고 능동 적 으로 힘차 게 하 아 나가
고사 지내,술 잔 의 술 을 오랫 동안 마시 지 않
고사 를 지내,술 잔 의 술 을 오랫 동안 마시 지 않
고사리 같 은 손,어린 아이 의 여리 고 포동포동 하 ᆫ 손
고사리 밥 같 은 손,어린 아이 의 여리 고 포동포동 하 ᆫ 손
고생 문 이 훤하,앞 으로 고생 을 겪 을 것 이 뻔 하
고양이 낯 짝 만 하,매우 좁
고양이 낯 짝 만 하,매우 좁
고양이 소리,겉 으로 발라맞추 는 말
고양이 와 개,서로 앙숙 이 ᆫ 관계
고지 먹,고지 를 하 아 주 기 로 하 고 삯 을 미리 받 아 쓰
고지 쓰,고지 를 하 아 주 기 로 하 고 삯 을 미리 받 아 쓰
고지 를 먹,고지 를 하 아 주 기 로 하 고 삯 을 미리 받 아 쓰
고지 를 쓰,고지 를 하 아 주 기 로 하 고 삯 을 미리 받 아 쓰
고추 먹 은 소리,못 마땅 하 게 여기 어 씁쓸 하 아 하
고택 골 가,죽
고택 골 로 가,죽
고택 골 로 보내,죽이
고패 빼,굴복 을 하
고패 를 빼,굴복 을 하
고패 를 떨어뜨리,뜰 아래 에서 절하 이 다
고패 를 숙이,약자 가 되 어 머리 를 숙이
고패 를 드리,약자 가 되 어 머리 를 숙이
고혈 을 짜,가혹 하 게 착취 하 거나 징수 하
고혈 을 짜내,가혹 하 게 착취 하 거나 징수 하
고혈 을 빨,가혹 하 게 착취 하 거나 징수 하
고황 에 들,병 이 고치 기 힘들 게 몸 속 깊이 들
곡기 를 끊,음식 을 먹 지 못하 거나 먹 지 아니하
곡기 를 놓,음식 을 먹 지 못하 거나 먹 지 아니하
곡수 놓,굽이굽이 휘돌 아 흐르 는 물 을 수놓
곡수 를 놓,굽이굽이 휘돌 아 흐르 는 물 을 수놓
곤산 의 옥,훌륭 하 ᆫ 사람
곤장 을 내,때리 어 부수
골 박,모양 을 바로잡
골 을 박,모양 을 바로잡
골 싸매 고,온 힘 을 다 하
골 을 싸매 고,온 힘 을 다 하
골 썩이,몹시 애 를 쓰 며 골똘히 생각 하
골 을 썩이,몹시 애 를 쓰 며 골똘히 생각 하
골 쓰,주의 를 기울이 어 이리저리 생각 하 거나 애쓰
골 을 쓰,주의 를 기울이 어 이리저리 생각 하 거나 애쓰
골 앓,머리 가 아프 ᆯ 정도 로 생각 에 몰두 하
골 을 앓,머리 가 아프 ᆯ 정도 로 생각 에 몰두 하
골 올리,화 가 치밀 어 오르 게 만들
골 을 올리,화 가 치밀 어 오르 게 만들
골 지르,밭 을 세 번 째 갈
골 을 지르,밭 을 세 번 째 갈
골 치,골 로써 물건 의 모양 을 바로잡
골 을 치,골 로써 물건 의 모양 을 바로잡
골 켜,통 나무 를 세로 로 켜 서 골 을 만들
골 을 켜,통 나무 를 세로 로 켜 서 골 을 만들
골 비,머리 가 비
골 이 비,머리 가 비
골 오르,화 가 치밀 어 오르
골 이 오르,화 가 치밀 어 오르
골 저리,차 ᆫ 기운 으로 뼛 속 까지 저리
골 이 저리,차 ᆫ 기운 으로 뼛 속 까지 저리
골 틀리,마음 에 언짢 아 부아 가 나
골 이 틀리,마음 에 언짢 아 부아 가 나
골격 이 아서 이,기본 틀 이 이루 어 지
골 로 가,죽
골 로 보내,죽이
골 머리 빠지,머리 를 몹시 쓰 거나 애 를 태우
골 머리 가 빠지,머리 를 몹시 쓰 거나 애 를 태우
골 머리 썩이,어떤 일 로 몹시 애 를 쓰 며 생각 에 몰두 하
골 머리 를 썩이,어떤 일 로 몹시 애 를 쓰 며 생각 에 몰두 하
골 머리 앓,어떻게 하 여야 하 ᆯ지 모르 아서 머리 가 아프 ᆯ 정도 로 생각 에 몰두 하
골 머리 를 앓,어떻게 하 여야 하 ᆯ지 모르 아서 머리 가 아프 ᆯ 정도 로 생각 에 몰두 하
골수 에 들,병 이 아주 깊이 들
골수 에 맺히,잊히 지 아니하 고 마음 속 깊이 응어리지 어 있
골수 에 박히,어떤 생각 이나 감정 이 빠지 어 나가 ᆯ 수 없 게 마음 속 깊이 자리 잡히
골수 에 뿌리박히,어떤 생각 이나 감정 이 빠지 어 나가 ᆯ 수 없 게 마음 속 깊이 자리 잡히
골수 에 사무치,원한 이나 고통 따위 가 뼛 속 에 파고들 ᆯ 정도 로 깊 고 강 하
골수 에 새기,잊 지 않 게 단단히 마음 에 기억 하
골 을 메우,갈등 을 없애
골 이 깊 어 지,관계 가 악화 되 거나 멀 어 지
골 이 빠지,머리 를 몹시 쓰 거나 애 를 태우
골 이 상투 끝 까지 나,매우 화 가 나
골치 앓,어떻게 하 여야 하 ᆯ지 모르 아서 머리 가 아프 ᆯ 정도 로 생각 에 몰두 하
골치 를 앓,어떻게 하 여야 하 ᆯ지 모르 아서 머리 가 아프 ᆯ 정도 로 생각 에 몰두 하
골탕 먹,한꺼번에 크 게 손해 를 입 거나 낭패 를 당하
골탕 을 먹,한꺼번에 크 게 손해 를 입 거나 낭패 를 당하
골탕 먹이,한꺼번에 크 게 손해 를 입히 거나 낭패 를 당하 게 만들
골탕 을 먹이,한꺼번에 크 게 손해 를 입히 거나 낭패 를 당하 게 만들
곱 지 않 은 말,비위 를 거스르 면서 듣 기 에 좋 지 아니하 게 하 는 말
공 닦,정성 을 기울이
공 을 닦,정성 을 기울이
공 쌓,정성 을 기울이
공 을 쌓,정성 을 기울이
공갈 놓,공포 를 느끼 도록 을러메 서 무섭 게 하
공갈 을 놓,공포 를 느끼 도록 을러메 서 무섭 게 하
공갈 때리,공포 를 느끼 도록 을러메 서 무섭 게 하
공갈 을 때리,공포 를 느끼 도록 을러메 서 무섭 게 하
공기 놀,공기 놀이 를 하
공기 를 놀,공기 놀이 를 하
공기 놀리,농락 하
공기 를 놀리,농락 하
공기 가 팽팽 하,분위기 가 몹시 긴장 되 어 있
공깃 돌 놀리,농락 하
공 밥 먹,일 을 제대로 하 지 못하 고 보수 만 받
공 밥 을 먹,일 을 제대로 하 지 못하 고 보수 만 받
공수 내리,무당 이 공수 를 전하 여 말 하
공수 를 내리,무당 이 공수 를 전하 여 말 하
공 이 넘어가,결정 권 이 상대 편 이나 다른 곳 으로 가
공중 뜨,모자라 거나 없 어 지
공중 에 뜨,모자라 거나 없 어 지
공포 놓,위협 을 주 거나 공갈 하
공포 를 놓,위협 을 주 거나 공갈 하
과거 있,어둡 거나 복잡 하 ᆫ 과거 의 경험 을 가지 고 있
과거 가 있,어둡 거나 복잡 하 ᆫ 과거 의 경험 을 가지 고 있
과년 차 이 다,여자 의 나이 가 혼기 에 임박 하
과년 이 차,여자 의 나이 가 혼기 에 임박 하
과방 보다,과방 의 일 을 맡아보
과방 을 보,과방 의 일 을 맡아보
관 물 먹,국가 의 관료 로 생활 을 하
관 물 을 먹,국가 의 관료 로 생활 을 하
관 물 들,오랜 관리 생활 로 관료 적 이 ᆫ 영향 을 받
관 물 이 들,오랜 관리 생활 로 관료 적 이 ᆫ 영향 을 받
관청 물 먹,국가 의 관료 로 생활 을 하
관청 물 을 먹,국가 의 관료 로 생활 을 하
관함 을 두,격식 을 갖추 려고 문서 끝 에 벼슬 이름 과 성명 을 밝히 어 쓰
광 치,사실 보다 크 게 떠벌리 어 허풍 을 치
광 을 치,사실 보다 크 게 떠벌리 어 허풍 을 치
광대 를 그리,얼굴 에 먹 이나 물 감 따위 를 이리저리 바르
괘 그르,일 이 뜻대로 되 지 않
괘 가 그르,일 이 뜻대로 되 지 않
괘방 치,비밀 을 드러내
괘방 을 치,비밀 을 드러내
괘장 부치,갑작스럽 게 반대 하 여 일 을 안 되 게 하
괘장 을 부치,갑작스럽 게 반대 하 여 일 을 안 되 게 하
괴 배 이 다,배 속 에 병 으로 덩어리 가 생기
괴 를 배,배 속 에 병 으로 덩어리 가 생기
괴발 개발 그리,글씨 를 함부로 갈기 어 쓰
교단 에 서,선생 생활 을 하
교단 을 떠나,선생 생활 을 그만두
교료 놓,교정 쇄 에 교정 을 끝내 었 다는 뜻 을 적 거나 도장 을 찍
교료 를 놓,교정 쇄 에 교정 을 끝내 었 다는 뜻 을 적 거나 도장 을 찍
교문 을 나오,학교 를 졸업 하
교문 을 나서,학교 를 졸업 하
교편 놓,학교 의 교사 생활 을 그만두
교편 을 놓,학교 의 교사 생활 을 그만두
교편 잡,학교 에서 교사 생활 을 하
교편 을 잡,학교 에서 교사 생활 을 하
교편 을 내던지,학교 의 교사 생활 을 스스로 그만두
구경 도 못 하,눈 으로 보 지 도 못하
구곡 간장 을 녹이,몹시 놀라 거나 실망 하 게 하
구곡 간장 이 녹,몹시 놀라 거나 실망 하
구눙 놀,구눙 차림 을 하 고 나오 아서 놀아나
구더기 되 ᆯ 놈,매우 둔하 고 어리석 은 사람
구들 장 지,구들 방 에 눕 어 있
구들 장 을 지,구들 방 에 눕 어 있
구름 잡,막연 하 거나 허황 되 ᆫ 것 을 좇
구름 을 잡,막연 하 거나 허황 되 ᆫ 것 을 좇
구름 같이 모여들,한꺼번에 많이 모여들
구린 내 가 나,수상쩍 어 의심 스럽 ᆫ 생각 이 들
구미 가 당기,욕심 이나 관심 이 생기
구미 가 돌,욕심 이나 관심 이 생기
구미 가 동하,무엇 을 차지 하 고 싶 은 마음 이 생기
구미 를 돋우,관심 을 가지 게 하
구복 을 달래,먹 고 싶 거나 배 가 고프 ᆫ 것 을 억지로 참
구새 먹,속 이 쓰 지 못하 게 되 었 거나 내용 이 비 게 되
구새 가 먹,속 이 쓰 지 못하 게 되 었 거나 내용 이 비 게 되
구색 맞추,여러 가지 가 고루 갖추 어 지 게 하
구색 을 맞추,여러 가지 가 고루 갖추 어 지 게 하
구색 이 맞,여러 가지 가 고루 갖추 어 지
구석 에 몰리,어렵 거나 곤란 하 ᆫ 처지 가 되
구석 이 비,말 의 앞 뒤 가 맞 지 않 거나 논리 적 으로 모순 이 있
구슬리 어 넘기,달래 거나 추어올리
구슬리 어 삶,꾀 어 잘 따르 게 만들
구슬리 어 세우,치켜세우
구정 물 이 튀,화 가 미치
구종 들,구종 이 되 어 말 고삐 를 잡
구종 을 들,구종 이 되 어 말 고삐 를 잡
구중 들,구종 이 되 어 말 고삐 를 잡
구중 을 들,구종 이 되 어 말 고삐 를 잡
구천 에 사무치,원하 ᆫ 따위 가 저승 에 까지 미치
국 물 도 없,돌아오 는 몫 이나 이득 이 아무것 도 없
국수 먹,결혼 식 을 올리
국수 를 먹,결혼 식 을 올리
국수 먹이,결혼 식 을 올리
국수 를 먹이,결혼 식 을 올리
군 눈 뜨,외도 에 눈 을 뜨
군 눈 을 뜨,외도 에 눈 을 뜨
군 물 돌,물 기 가 음식 과 한 데 섞이 지 않 고 위 에 따로 돌
군 물 이 돌,물 기 가 음식 과 한 데 섞이 지 않 고 위 에 따로 돌
군복 벗,군 에서 제대 하
군복 을 벗,군 에서 제대 하
군복 을 입,군 에 입대 하
군 불 때 이 다,담배 를 피우
군 불 을 때 이 다,담배 를 피우
군 살 을 빼,반드시 있 지 않 아도 되 ᆯ 것 을 덜 어 내
군 입 다시,먹 고 싶 어서 입 을 다시
군 입 을 다시,먹 고 싶 어서 입 을 다시
군 침 삼키,몹시 탐 을 내
군 침 흘리,몹시 탐 을 내
군 침 을 삼키,몹시 탐 을 내
군 침 을 흘리,몹시 탐 을 내
군 침 돋 아시,욕심 이 생기
군 침 이 돋 아시,욕심 이 생기
군 침 돌,욕심 이 생기
군 침 이 돌,욕심 이 생기
군 침 을 돋우,욕심 이 생기 게 하
군 침 이 흐르,욕심 이 생기
굴뚝 후비,담배 를 피우
굴레 벗,구속 이나 통제 에서 벗어나 아 자유 롭 게 되
굴레 를 벗,구속 이나 통제 에서 벗어나 아 자유 롭 게 되
굴레 쓰,일 이나 구속 에 얽매이 어 벗어나 지 못하 게 되
굴레 를 쓰,일 이나 구속 에 얽매이 어 벗어나 지 못하 게 되
굴레 씌우,자유 롭 게 활동 하 지 못하 도록 구속 하
굴레 를 씌우,자유 롭 게 활동 하 지 못하 도록 구속 하
굴레 벗 은 말,몸 이 자유 롭 ᄆ
굴레 벗 은 망아지,몸 이 자유 롭 ᄆ
굴레 벗 은 송아지,몸 이 자유 롭 ᄆ
굴레 쓰 ᆫ 말,일 이나 구속 에 얽매이 어 벗어나 지 못하 는 사람
굽 도 젖 도 하 ᆯ 수 없,형편 이 막다르 ᆫ 데 이르 러 어쩌 ᆯ 아 보 ᆯ 도리 가 없
굽 통 쑤시,화살 이 과녁 을 버티 고 있 는 두 나무 기둥 사이 의 바닥 에 맞
굿 보다,남 의 일 에 참견 하 지 아니하 고 보 기 만 하
굿 을 보,남 의 일 에 참견 하 지 아니하 고 보 기 만 하
궁 것 이,곤궁 하 게 되
궁이 끼,곤궁 하 게 되
궁둥이 가 가볍,어느 한 자리 에 오래 머물 지 못하 고 바로 자리 를 뜨
궁둥이 가 무겁,한 번 자리 를 잡 고 앉 으면 좀처럼 일어나 지 아니하
궁둥이 가 질기,한 번 자리 를 잡 고 앉 으면 좀처럼 일어나 지 아니하
궁둥이 를 붙이,앉 아서 여유 를 갖 고 쉬
궁둥이 에 좀 이 쑤시,가만히 앉 아 있 지 못하 고 자주 일어서 거나 하
궁하 ᆫ 소리,사정 이 어려움 을 하소연
권하 거니 잣,술 따위 를 남 에게 권하 기 도 하 고 자기 도 받 아 마시 기 도 하 며 계속 하 여 먹
권하 거니 잡,술 따위 를 남 에게 권하 기 도 하 고 자기 도 받 아 마시 기 도 하 며 계속 하 여 먹
궐 잡,제 때 에 제 자리 에 없 는 것 을 세 어 두 거나 적 어 두
궐 을 잡,제 때 에 제 자리 에 없 는 것 을 세 어 두 거나 적 어 두
궐방 치,꼭 하 아야 하 ᆯ 일 을 못 하
궐방 을 치,꼭 하 아야 하 ᆯ 일 을 못 하
귀 따갑,너무 여러 번 들 어서 듣 기 가 싫
귀 가 따갑,너무 여러 번 들 어서 듣 기 가 싫
귀 아프,너무 여러 번 들 어서 듣 기 가 싫
귀 가 아프,너무 여러 번 들 어서 듣 기 가 싫
귀 여리,속 는 줄 도 모르 고 남 의 말 을 그대로 잘 믿
귀 가 여리,속 는 줄 도 모르 고 남 의 말 을 그대로 잘 믿
귀 질기,말 을 싹싹 하 게 잘 듣 지 않 고 끈덕지
귀 가 질기,말 을 싹싹 하 게 잘 듣 지 않 고 끈덕지
귀 기울이,관심 을 가지 고 주의 를 모으
귀 를 기울이,관심 을 가지 고 주의 를 모으
귀 뜨,태어나 서 처음 으로 소리 를 알아듣 게 되
귀 를 뜨,태어나 서 처음 으로 소리 를 알아듣 게 되
귀 주,살그머니 알리 어 조심 하 게 하
귀 를 주,살그머니 알리 어 조심 하 게 하
귀 거칠,하 는 말 이 온당 하 지 않 아 듣 기에 거북 하
귀 에 거칠,하 는 말 이 온당 하 지 않 아 듣 기에 거북 하
귀 익,들 은 기억 이 있
귀 에 익,들 은 기억 이 있
귀 가 가렵,남 이 제 말 을 하 ᆫ다고 느끼
귀 가 간지럽,남 이 제 말 을 하 ᆫ다고 느끼
귀 가 뚫리,말 을 알아듣 게 되
